Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,108,hr,3855.0,Yea
passage-suspension,108,hr,3970.0,Yea
passage,109,hres,742.0,Nay
passage,109,hres,895.0,Nay
passage-suspension,109,hres,795.0,Yea
passage,109,hres,1099.0,Nay
passage-suspension,109,hr,4944.0,Yea
passage,109,hr,5684.0,Yea
passage-suspension,109,hr,5061.0,Yea
passage-suspension,109,s,203.0,Not Voting
passage-suspension,109,hr,5948.0,Yea
passage,109,hr,513.0,Yea
passage,109,s,3930.0,Not Voting
passage-suspension,109,hres,357.0,Yea
passage-suspension,109,sjres,28.0,Yea
passage-suspension,109,sconres,79.0,Yea
passage-suspension,109,hr,4054.0,Yea
passage-suspension,109,hr,3505.0,Yea
passage-suspension,109,hr,5143.0,Yea
passage,109,hres,1100.0,Yea
passage,109,hres,815.0,Nay
passage-suspension,109,hconres,190.0,Yea
passage-suspension,109,s,1496.0,Not Voting
passage-suspension,109,hres,692.0,Yea
passage,109,hr,5441.0,Not Voting
passage-suspension,109,hconres,448.0,Yea
passage-suspension,109,hres,1088.0,Yea
passage-suspension,109,hr,2563.0,Yea
passage-suspension,109,hres,736.0,Yea
passage,109,hres,1053.0,Not Voting
passage-suspension,109,hr,5646.0,Yea
passage-suspension,109,hr,3829.0,Yea
passage-suspension,109,s,2271.0,Yea
passage,109,hr,5631.0,Yea
passage-suspension,109,hr,4745.0,Yea
passage-suspension,109,hr,4709.0,Yea
passage-suspension,109,hr,1259.0,Yea
passage,109,hr,5252.0,Nay
passage-suspension,109,hres,605.0,Yea
passage,109,hres,966.0,Nay
passage,109,hr,5631.0,Yea
passage-suspension,109,hr,5062.0,Not Voting
passage,109,hres,1039.0,Nay
passage-suspension,109,hres,670.0,Yea
passage-suspension,109,hres,723.0,Yea
passage,109,hr,2965.0,Not Voting
passage-suspension,109,hr,2808.0,Yea
passage,109,hres,958.0,Nay
passage,109,hconres,459.0,Nay
passage-suspension,109,hres,875.0,Yea
passage,109,hr,2679.0,Nay
passage,109,hres,653.0,Nay
passage,109,hres,1038.0,Nay
passage-suspension,109,hr,6102.0,Not Voting
passage-suspension,109,hres,648.0,Yea
passage,109,hconres,483.0,Nay
passage,109,hres,835.0,Nay
passage-suspension,109,hconres,210.0,Not Voting
passage,109,hres,1015.0,Not Voting
passage,109,hr,4830.0,Not Voting
passage-suspension,109,s,2856.0,Not Voting
passage-suspension,109,hres,976.0,Not Voting
passage,109,hr,5429.0,Nay
passage-suspension,109,hr,6115.0,Not Voting
passage-suspension,109,hres,826.0,Yea
passage-suspension,109,hconres,449.0,Yea
passage-suspension,109,hconres,338.0,Not Voting
passage-suspension,109,hres,608.0,Not Voting
passage-suspension,109,hr,5319.0,Yea
passage-suspension,109,hr,5637.0,Not Voting
passage-suspension,109,s,193.0,Yea
passage,109,hr,4844.0,Not Voting
passage,109,hres,850.0,Nay
passage-suspension,109,hres,942.0,Not Voting
passage,109,hr,6095.0,Not Voting
passage,109,hr,5427.0,Yea
passage-suspension,109,hr,6033.0,Not Voting
passage-suspension,109,hres,804.0,Not Voting
passage-suspension,109,hr,5337.0,Yea
passage-suspension,109,hconres,384.0,Yea
passage-suspension,109,hr,5504.0,Yea
passage,109,hjres,102.0,Not Voting
passage-suspension,109,hr,5253.0,Yea
passage-suspension,109,hres,323.0,Yea
passage-suspension,109,hconres,392.0,Yea
passage-suspension,109,hr,889.0,Not Voting
passage-suspension,109,s,2120.0,Yea
passage-suspension,109,hr,5585.0,Yea
passage-suspension,109,hres,802.0,Yea
passage-suspension,109,s,2754.0,Nay
passage-suspension,109,hres,911.0,Yea
passage-suspension,109,hr,1176.0,Yea
passage-suspension,109,s,1235.0,Yea
passage-suspension,109,hr,4843.0,Not Voting
passage-suspension,109,hres,658.0,Yea
passage-suspension,109,hconres,359.0,Yea
passage,109,hres,890.0,Not Voting
passage,109,hr,5682.0,Not Voting
veto-override,109,hr,810.0,Yea
passage-suspension,109,hres,578.0,Yea
passage-suspension,109,s,3661.0,Not Voting
passage,109,hr,5385.0,Yea
passage-suspension,109,s,2320.0,Yea
passage-suspension,109,hres,1070.0,Yea
passage-suspension,109,hr,5683.0,Yea
passage-suspension,109,hr,4882.0,Yea
passage-suspension,109,hr,3858.0,Yea
passage-suspension,109,hres,498.0,Yea
passage-suspension,109,hres,1078.0,Yea
passage-suspension,109,hr,3085.0,Not Voting
passage,109,hres,774.0,Nay
passage-suspension,109,hr,1096.0,Yea
passage-suspension,109,hconres,365.0,Yea
passage,109,hres,805.0,Nay
passage-suspension,109,hr,5574.0,Yea
passage-suspension,109,hres,673.0,Yea
passage,109,hres,1054.0,Not Voting
passage,109,hconres,440.0,Nay
passage,109,hres,832.0,Not Voting
passage-suspension,109,hr,4804.0,Yea
passage-suspension,109,hjres,81.0,Yea
passage,109,hr,5825.0,Nay
passage-suspension,109,hres,740.0,Yea
passage-suspension,109,hr,5534.0,Not Voting
passage-suspension,109,hres,1091.0,Yea
passage,109,hres,906.0,Yea
passage-suspension,109,hres,921.0,Yea
passage-suspension,109,hr,1053.0,Yea
passage-suspension,109,hr,5573.0,Yea
passage,109,hres,806.0,Yea
passage-suspension,109,hr,4192.0,Yea
passage-suspension,109,hr,282.0,Yea
passage-suspension,109,hres,668.0,Yea
passage,109,hconres,341.0,Yea
passage,109,hres,925.0,Yea
passage-suspension,109,hr,6375.0,Nay
passage-suspension,109,hr,5852.0,Yea
passage-suspension,109,hres,703.0,Yea
passage-suspension,109,hr,6143.0,Nay
passage,109,hr,5384.0,Yea
passage,109,hconres,376.0,Nay
passage,109,hres,741.0,Nay
passage-suspension,109,hres,744.0,Yea
passage,109,hres,1003.0,Not Voting
passage-suspension,109,hres,657.0,Yea
passage-suspension,109,hr,5092.0,Nay
passage-suspension,109,hres,992.0,Yea
passage-suspension,109,hr,6164.0,Yea
passage-suspension,109,hr,5059.0,Not Voting
passage-suspension,109,hconres,322.0,Yea
passage,109,hr,5521.0,Yea
passage,109,hres,994.0,Yea
passage-suspension,109,hr,5540.0,Yea
passage,109,s,403.0,Nay
passage-suspension,109,s,1989.0,Yea
passage,109,hr,6061.0,Not Voting
passage-suspension,109,s,2832.0,Not Voting
passage,109,hr,5441.0,Yea
passage-suspension,109,hres,1017.0,Yea
passage-suspension,109,hres,989.0,Yea
passage-suspension,109,hr,4772.0,Nay
passage-suspension,109,hres,844.0,Yea
passage,109,hr,5576.0,Yea
passage,109,hres,861.0,Yea
passage-suspension,109,hres,175.0,Yea
passage-suspension,109,hr,4894.0,Yea
passage,109,hres,981.0,Yea
passage,109,hres,877.0,Yea
passage-suspension,109,hr,4893.0,Nay
passage,109,hr,5522.0,Yea
passage,109,hres,947.0,Nay
passage-suspension,109,hr,5013.0,Nay
passage,109,hr,4939.0,Yea
passage-suspension,109,hres,622.0,Not Voting
passage-suspension,109,s,418.0,Not Voting
passage-suspension,109,hr,5121.0,Yea
passage-suspension,109,hconres,408.0,Yea
passage-suspension,109,hres,794.0,Not Voting
passage,109,hres,862.0,Nay
passage-suspension,109,hres,731.0,Yea
passage-suspension,109,hres,318.0,Yea
passage-suspension,109,hr,5428.0,Yea
passage-suspension,109,hr,5228.0,Yea
passage-suspension,109,s,2803.0,Yea
passage,109,hres,1018.0,Not Voting
passage,109,hr,6094.0,Not Voting
passage-suspension,109,hr,5449.0,Yea
passage-suspension,109,hconres,415.0,Not Voting
passage-suspension,109,hr,5602.0,Yea
passage-suspension,109,hconres,366.0,Yea
passage-suspension,109,hr,6099.0,Nay
passage-suspension,109,hr,864.0,Yea
passage-suspension,109,hr,3729.0,Not Voting
passage,109,hres,920.0,Nay
passage,109,hres,1096.0,Not Voting
passage-suspension,109,hres,737.0,Yea
passage-suspension,109,hr,3085.0,Yea
passage-suspension,109,s,3504.0,Yea
